"id","name","exit time(s)","active time(s)","jam time total(s)","jam time max continuous(s)","level jam time","stair jam time","ramp jam time","start time(s)","finish time(s)","distance (m)","num attractors used","attractor time(s)","num occ targets used","occ target time(s)","last_goal_started time(s)"
152,"00090",84.900,84.900,0.975,0.300,0.850,0.125,0.000,0.000,84.900,59.403,0,0.000,0,0.000,0.000
153,"00091",153.900,153.900,5.225,2.050,4.075,1.150,0.000,0.000,153.900,59.427,0,0.000,0,0.000,0.000
154,"00092",84.925,84.925,0.525,0.300,0.525,0.000,0.000,0.000,84.925,61.273,0,0.000,0,0.000,0.000
155,"00093",63.550,63.550,2.900,2.225,0.650,2.250,0.000,0.000,63.550,68.621,0,0.000,0,0.000,0.000
156,"00094",77.825,77.825,2.250,1.300,2.250,0.000,0.000,0.000,77.825,59.787,0,0.000,0,0.000,0.000
157,"00095",95.925,95.925,4.100,0.900,1.300,2.800,0.000,0.000,95.925,51.320,0,0.000,0,0.000,0.000
158,"00096",90.275,90.275,0.400,0.325,0.400,0.000,0.000,0.000,90.275,63.737,0,0.000,0,0.000,0.000
159,"00097",72.300,72.300,2.425,0.500,1.250,1.175,0.000,0.000,72.300,74.012,0,0.000,0,0.000,0.000
160,"00098",65.500,65.500,0.950,0.300,0.950,0.000,0.000,0.000,65.500,54.580,0,0.000,0,0.000,0.000
161,"00099",101.525,101.525,5.075,1.450,5.075,0.000,0.000,0.000,101.525,43.428,0,0.000,0,0.000,0.000
162,"00100",55.150,55.150,0.550,0.175,0.550,0.000,0.000,0.000,55.150,62.669,0,0.000,0,0.000,0.000
163,"00101",125.800,125.800,2.725,2.150,2.725,0.000,0.000,0.000,125.800,60.836,0,0.000,0,0.000,0.000
164,"00102",98.650,98.650,2.000,0.400,1.600,0.400,0.000,0.000,98.650,66.999,0,0.000,0,0.000,0.000
165,"00103",37.400,37.400,0.325,0.175,0.325,0.000,0.000,0.000,37.400,46.465,0,0.000,0,0.000,0.000
166,"00104",36.675,36.675,0.250,0.250,0.250,0.000,0.000,0.000,36.675,39.712,0,0.000,0,0.000,0.000
167,"00105",64.100,64.100,0.950,0.325,0.950,0.000,0.000,0.000,64.100,50.126,0,0.000,0,0.000,0.000
168,"00106",62.450,62.450,0.800,0.350,0.800,0.000,0.000,0.000,62.450,47.024,0,0.000,0,0.000,0.000
169,"00107",43.175,43.175,0.250,0.250,0.250,0.000,0.000,0.000,43.175,44.701,0,0.000,0,0.000,0.000
170,"00108",56.850,56.850,0.700,0.225,0.700,0.000,0.000,0.000,56.850,58.009,0,0.000,0,0.000,0.000
171,"00109",38.925,38.925,0.175,0.175,0.175,0.000,0.000,0.000,38.925,51.139,0,0.000,0,0.000,0.000
172,"00110",36.450,36.450,0.200,0.200,0.200,0.000,0.000,0.000,36.450,46.870,0,0.000,0,0.000,0.000
173,"00111",97.525,97.525,2.350,0.925,0.525,1.825,0.000,0.000,97.525,48.244,0,0.000,0,0.000,0.000
174,"00112",30.025,30.025,0.175,0.175,0.175,0.000,0.000,0.000,30.025,44.536,0,0.000,0,0.000,0.000
175,"00113",39.750,39.750,0.375,0.175,0.375,0.000,0.000,0.000,39.750,54.288,0,0.000,0,0.000,0.000
176,"00114",62.600,62.600,6.100,4.100,6.100,0.000,0.000,0.000,62.600,42.065,0,0.000,0,0.000,0.000
177,"00115",43.500,43.500,0.250,0.225,0.225,0.025,0.000,0.000,43.500,53.762,0,0.000,0,0.000,0.000
178,"00116",59.425,59.425,7.500,5.725,7.500,0.000,0.000,0.000,59.425,48.715,0,0.000,0,0.000,0.000
179,"00117",54.725,54.725,4.175,2.775,4.175,0.000,0.000,0.000,54.725,42.641,0,0.000,0,0.000,0.000
180,"00118",56.700,56.700,8.250,2.150,8.225,0.025,0.000,0.000,56.700,47.005,0,0.000,0,0.000,0.000
181,"00119",68.500,68.500,7.150,4.275,6.900,0.250,0.000,0.000,68.500,45.046,0,0.000,0,0.000,0.000
182,"00120",102.025,102.025,20.525,4.450,19.900,0.625,0.000,0.000,102.025,56.136,0,0.000,0,0.000,0.000
183,"00121",55.625,55.625,9.925,2.350,9.925,0.000,0.000,0.000,55.625,46.750,0,0.000,0,0.000,0.000
184,"00122",78.950,78.950,17.050,11.975,16.975,0.075,0.000,0.000,78.950,46.844,0,0.000,0,0.000,0.000
185,"00123",58.150,58.150,0.550,0.200,0.550,0.000,0.000,0.000,58.150,63.034,0,0.000,0,0.000,0.000
186,"00124",105.000,105.000,4.625,1.500,4.625,0.000,0.000,0.000,105.000,53.175,0,0.000,0,0.000,0.000
187,"00125",89.600,89.600,7.800,1.100,3.225,4.575,0.000,0.000,89.600,36.120,0,0.000,0,0.000,0.000
188,"00126",69.425,69.425,0.500,0.500,0.500,0.000,0.000,0.000,69.425,36.016,0,0.000,0,0.000,0.000
189,"00127",80.000,80.000,3.150,1.000,3.150,0.000,0.000,0.000,80.000,49.158,0,0.000,0,0.000,0.000
